recorded_at_utc,recorded_at,run_folder,condition_id,market_id,event_slug,question,window_start_utc,window_end_utc,direction,side,order_type,post_only,shares,price,amount_usd,order_id,execution_route,mode,outcome,settled,pnl_usd,pnl_source,final_pnl_usd
2026-05-30T15:24:07.028029+00:00,05-30 23:24:07,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x22528435698e59b1b0d740650203bd9e38bfba850100d06a4e6e88b4398fec2e,,btc-updown-5m-1780154700,"Bitcoin Up or Down - May 30, 11:25AM-11:30AM ET",2026-05-30T15:25:00+00:00,2026-05-30T15:30:00+00:00,UP,YES,GTC,False,10.0,0.52,5.2,DRY-0x225284-YES,direct_clob,paper,,,,,
2026-05-30T15:24:16.353418+00:00,05-30 23:24:16,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x22528435698e59b1b0d740650203bd9e38bfba850100d06a4e6e88b4398fec2e,,btc-updown-5m-1780154700,"Bitcoin Up or Down - May 30, 11:25AM-11:30AM ET",2026-05-30T15:25:00+00:00,2026-05-30T15:30:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x225284-DOWN,direct_clob,paper,,,,,
2026-05-30T15:25:37.970548+00:00,05-30 23:25:37,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x9c1d2ab93995dd7c8376c5a3ac0e9b9341720e5c20b9c1bac1cda2079351452a,,btc-updown-5m-1780155000,"Bitcoin Up or Down - May 30, 11:30AM-11:35AM ET",2026-05-30T15:30:00+00:00,2026-05-30T15:35:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0x9c1d2a-YES,direct_clob,paper,,,,,
2026-05-30T15:25:46.375977+00:00,05-30 23:25:46,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x9c1d2ab93995dd7c8376c5a3ac0e9b9341720e5c20b9c1bac1cda2079351452a,,btc-updown-5m-1780155000,"Bitcoin Up or Down - May 30, 11:30AM-11:35AM ET",2026-05-30T15:30:00+00:00,2026-05-30T15:35:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x9c1d2a-DOWN,direct_clob,paper,,,,,
2026-05-30T15:31:10.994432+00:00,05-30 23:31:10,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x32d628631f4b0f4e5388dbd7f176a6236451960a191fa059b04b82b7d1231679,,btc-updown-5m-1780155300,"Bitcoin Up or Down - May 30, 11:35AM-11:40AM ET",2026-05-30T15:35:00+00:00,2026-05-30T15:40:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0x32d628-YES,direct_clob,paper,,,,,
2026-05-30T15:31:19.927822+00:00,05-30 23:31:19,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x32d628631f4b0f4e5388dbd7f176a6236451960a191fa059b04b82b7d1231679,,btc-updown-5m-1780155300,"Bitcoin Up or Down - May 30, 11:35AM-11:40AM ET",2026-05-30T15:35:00+00:00,2026-05-30T15:40:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x32d628-DOWN,direct_clob,paper,,,,,
2026-05-30T15:35:18.567699+00:00,05-30 23:35:18,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0xd3be4c7c1d1c440818e8e46be579b7d967836441834d5d24e8868c6dcb2d836c,,btc-updown-5m-1780155600,"Bitcoin Up or Down - May 30, 11:40AM-11:45AM ET",2026-05-30T15:40:00+00:00,2026-05-30T15:45:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0xd3be4c-YES,direct_clob,paper,,,,,
2026-05-30T15:35:28.317400+00:00,05-30 23:35:28,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0xd3be4c7c1d1c440818e8e46be579b7d967836441834d5d24e8868c6dcb2d836c,,btc-updown-5m-1780155600,"Bitcoin Up or Down - May 30, 11:40AM-11:45AM ET",2026-05-30T15:40:00+00:00,2026-05-30T15:45:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0xd3be4c-DOWN,direct_clob,paper,,,,,
2026-05-30T15:41:11.810911+00:00,05-30 23:41:11,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x48066ccce23fb39ee59287360f9fa96b9a94a8ef235bb882ef72477432c05d82,,btc-updown-5m-1780155900,"Bitcoin Up or Down - May 30, 11:45AM-11:50AM ET",2026-05-30T15:45:00+00:00,2026-05-30T15:50:00+00:00,UP,YES,GTC,False,10.0,0.51,5.1,DRY-0x48066c-YES,direct_clob,paper,,,,,
2026-05-30T15:41:22.912873+00:00,05-30 23:41:22,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-30-23-23-47_dryrun,0x48066ccce23fb39ee59287360f9fa96b9a94a8ef235bb882ef72477432c05d82,,btc-updown-5m-1780155900,"Bitcoin Up or Down - May 30, 11:45AM-11:50AM ET",2026-05-30T15:45:00+00:00,2026-05-30T15:50:00+00:00,DOWN,NO,GTC,True,10.0,0.4,4.0,DRY-0x48066c-DOWN,direct_clob,paper,,,,,
