recorded_at_utc,recorded_at,run_folder,condition_id,market_id,event_slug,question,window_start_utc,window_end_utc,direction,side,order_type,post_only,shares,price,amount_usd,order_id,execution_route,mode,outcome,settled,pnl_usd,pnl_source,final_pnl_usd
2026-05-30T17:08:17.589006+00:00,05-31 01:08:17,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x22874250c69f125f52d9645017fcc41cf1386a418886c15c234198aa20e8639d,,btc-updown-5m-1780161000,"Bitcoin Up or Down - May 30, 1:10PM-1:15PM ET",2026-05-30T17:10:00+00:00,2026-05-30T17:15:00+00:00,UP,YES,GTC,False,5.0,0.5,2.5,0x245dfcdd6251851f948fcb6af59ebf46038f2360b30532f59d42302023be8116,direct_clob,live,,,,,
2026-05-30T17:08:24.215881+00:00,05-31 01:08:24,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x22874250c69f125f52d9645017fcc41cf1386a418886c15c234198aa20e8639d,,btc-updown-5m-1780161000,"Bitcoin Up or Down - May 30, 1:10PM-1:15PM ET",2026-05-30T17:10:00+00:00,2026-05-30T17:15:00+00:00,DOWN,NO,GTC,True,5.0,0.4,2.0,0x3ff6baa8888ccb30f824ad21d0921fd92bf8d8f14b0b1f0b46405b39368d23aa,direct_clob,live,,,,,
2026-05-30T17:16:43.024265+00:00,05-31 01:16:43,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x7727ab3e34a6d6890c44941213bbb803b60e1f57771fd328f75386e5fb2aaa13,,btc-updown-5m-1780161600,"Bitcoin Up or Down - May 30, 1:20PM-1:25PM ET",2026-05-30T17:20:00+00:00,2026-05-30T17:25:00+00:00,UP,YES,GTC,False,5.0,0.51,2.55,0x575bb319acbd9e9913da7aa5f26e9cb51a14ed00c32dcd2e9ab6e9b7563a457a,direct_clob,live,,,,,
2026-05-30T17:16:49.186238+00:00,05-31 01:16:49,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x7727ab3e34a6d6890c44941213bbb803b60e1f57771fd328f75386e5fb2aaa13,,btc-updown-5m-1780161600,"Bitcoin Up or Down - May 30, 1:20PM-1:25PM ET",2026-05-30T17:20:00+00:00,2026-05-30T17:25:00+00:00,DOWN,NO,GTC,True,5.0,0.4,2.0,0x62fb4dd350c33a5014aa5b8d084c0ff7a910fb743a872532ec66663c6c447805,direct_clob,live,,,,,
2026-05-30T17:08:17.589006+00:00,05-31 01:22:57,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x22874250c69f125f52d9645017fcc41cf1386a418886c15c234198aa20e8639d,,btc-updown-5m-1780161000,"Bitcoin Up or Down - May 30, 1:10PM-1:15PM ET",2026-05-30T17:10:00+00:00,2026-05-30T17:15:00+00:00,UP,YES,GTC,False,5.0,0.5,2.5,0x245dfcdd6251851f948fcb6af59ebf46038f2360b30532f59d42302023be8116,direct_clob,live,UP,True,-2.5,settlement_only,-2.5
2026-05-30T17:08:24.215881+00:00,05-31 01:22:58,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x22874250c69f125f52d9645017fcc41cf1386a418886c15c234198aa20e8639d,,btc-updown-5m-1780161000,"Bitcoin Up or Down - May 30, 1:10PM-1:15PM ET",2026-05-30T17:10:00+00:00,2026-05-30T17:15:00+00:00,DOWN,NO,GTC,True,5.0,0.4,2.0,0x3ff6baa8888ccb30f824ad21d0921fd92bf8d8f14b0b1f0b46405b39368d23aa,direct_clob,live,UP,True,-2.0,settlement_only,-2.0
2026-05-30T17:26:42.124995+00:00,05-31 01:26:42,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x9380c0491750b7ac2b639d1c3e06c2b2f4342ff2c0498af4ff004c3811585997,,btc-updown-5m-1780162200,"Bitcoin Up or Down - May 30, 1:30PM-1:35PM ET",2026-05-30T17:30:00+00:00,2026-05-30T17:35:00+00:00,UP,YES,GTC,False,5.0,0.5,2.5,0x41cc3f4cddf9ddb6889f5b8405f973c70bd270efa3753b8426023b931b0b77aa,direct_clob,live,,,,,
2026-05-30T17:26:48.705292+00:00,05-31 01:26:48,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x9380c0491750b7ac2b639d1c3e06c2b2f4342ff2c0498af4ff004c3811585997,,btc-updown-5m-1780162200,"Bitcoin Up or Down - May 30, 1:30PM-1:35PM ET",2026-05-30T17:30:00+00:00,2026-05-30T17:35:00+00:00,DOWN,NO,GTC,True,5.0,0.4,2.0,0xdb6b84f9dc48e229eb41d7d0bad039d9310f95141ae8dcc9973edf80e7a21e3f,direct_clob,live,,,,,
2026-05-30T17:30:40.281810+00:00,05-31 01:30:40,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0xa763f18aef41fd367e6cd50e258803546fbfbf7510cf62d26b8d7c991b435872,,btc-updown-5m-1780162500,"Bitcoin Up or Down - May 30, 1:35PM-1:40PM ET",2026-05-30T17:35:00+00:00,2026-05-30T17:40:00+00:00,UP,YES,GTC,False,5.0,0.5,2.5,0xd0f69a6286b3d59cc5ccf5e10d064a9acdaf8e947242f6d9036850a1d77c06e3,direct_clob,live,,,,,
2026-05-30T17:16:43.024265+00:00,05-31 01:30:40,/Users/yuliang/project/poly-refactor/poly-simmer-fast-loop/main/runs/2026-05-31-01-08-00_live,0x7727ab3e34a6d6890c44941213bbb803b60e1f57771fd328f75386e5fb2aaa13,,btc-updown-5m-1780161600,"Bitcoin Up or Down - May 30, 1:20PM-1:25PM ET",2026-05-30T17:20:00+00:00,2026-05-30T17:25:00+00:00,UP,YES,GTC,False,5.0,0.51,2.55,0x575bb319acbd9e9913da7aa5f26e9cb51a14ed00c32dcd2e9ab6e9b7563a457a,direct_clob,live,UP,True,-2.55,settlement_only,-2.55
